Index [<ind>],Particle X-Coordinate X Particle ID (Study 01 - Particles) [m],Particle Y-Coordinate X Particle ID (Study 01 - Particles) [m],Particle Z-Coordinate X Particle ID (Study 01 - Particles) [m]
463,0.0946213,-1.08287,0.280272
464,0.255573,-1.08328,-0.274112
465,0.181894,-1.08247,-0.298876
466,-0.233412,-0.393058,0.260038
467,-0.00100964,-1.07486,0.293468
468,-0.276059,0.0196204,0.352473
469,0.194917,0.0151108,-0.285578
470,0.309035,-0.50318,0.344409
471,0.0942964,-1.05548,0.258342
472,-0.484923,-1.08493,0.0702521
473,-0.183563,-1.075,0.0595359
474,0.162861,-1.07197,0.0431968
475,-0.480257,0.0196907,0.0582761
476,0.212328,0.0173978,-0.2232
477,-0.223643,0.0172412,0.22619
478,-0.149233,-1.06783,-0.38128
479,-0.000991741,-1.07042,0.235249
480,-0.364069,0.0175242,-0.344027
481,0.26427,-1.01125,0.382829
482,0.287809,-1.08044,-0.0846161
483,-0.460385,-1.08385,0.349691
484,-0.0343382,-1.06877,-0.0184437
485,-0.258761,-0.481758,-0.0393686
486,-0.0203908,-1.0559,0.213527
487,0.259671,0.0162619,0.301068
488,0.253037,-0.446626,0.0657954
489,-0.0684842,-1.06119,0.303514
490,-0.000237864,-1.08489,0.111483
491,-0.220836,0.016216,-0.133639
492,0.121862,-1.0845,0.0644074
493,0.295154,0.0171651,0.382779
494,-0.285484,0.0341974,0.195293
495,0.0557503,-1.07426,-0.113047
496,0.419057,-1.08167,0.198898
497,0.33311,0.0162953,-0.236324
498,-0.252139,-1.08168,0.177817
499,0.252548,-1.08407,0.00216924
500,-0.0100057,-1.08029,-0.247358
501,0.316975,0.0173165,0.159687
502,-0.286084,-1.08454,0.353842
503,-0.401102,-1.0845,-0.172617
504,0.306421,0.0158387,-0.165259
505,0.437509,0.017436,0.279989
506,-0.313735,0.0166603,0.099052
507,0.20245,0.0182821,-0.188792
508,0.403003,-0.672669,-0.0349758
509,-0.164964,-1.08401,0.129799
510,0.144296,-1.08479,-0.0277351
511,0.301988,-1.08344,-0.0513324
512,-0.224505,0.0181953,-0.0539313
513,-0.374995,0.018316,-0.307198
514,-0.261506,-1.08242,-0.0326962
515,0.307978,-1.08219,-0.382125
516,0.0729417,-1.06397,-0.0820486
517,0.314532,0.0426248,0.267424
518,0.421986,-1.08207,-0.121837
519,0.286517,0.0152795,0.0141002
520,0.197956,-0.373878,-0.384692
521,-0.133042,-1.08349,-0.285999
522,0.0728041,-1.07235,-0.344003
523,0.0409875,-1.08434,-0.352702
524,-0.38141,-1.08281,0.0777109
525,-0.0359463,-1.05835,0.276634
526,0.481428,-1.01714,-0.327651
527,0.210739,-1.08463,-0.226547
528,-0.171131,-1.08054,-0.262809
529,-0.217004,-1.0516,-0.142626
530,-0.0941596,-1.05932,-0.270949
531,0.00441499,-1.08281,0.324447
532,0.262737,0.0164562,-0.00835472
533,0.0694802,-1.05987,-0.252752
534,0.128003,-1.05614,-0.238262
535,0.146078,-1.08407,0.231667
536,0.045318,-1.07374,0.0838817
537,0.116437,-1.07631,0.221439
538,0.0769394,-1.05605,0.294941
539,0.0614752,-1.05654,0.244925
540,-0.297042,0.0159238,0.172098
541,0.357949,-1.08054,0.352547
542,-0.235999,-1.0838,-0.117821
543,0.276761,0.0167439,-0.383106
544,-0.0772975,-1.06465,0.257075
545,-0.141823,-1.05993,-0.0344962
546,-0.0688577,-1.07003,0.064934
547,-0.446045,-0.788796,0.179527
548,0.34485,-0.551015,0.352531
549,-0.0259762,-1.0478,-0.206362
550,-0.394162,0.029447,-0.360443
551,-0.376949,-1.08254,0.146843
552,-0.184206,-1.05823,-0.352949
553,-0.255135,0.0156018,0.323212
554,-0.0830275,-1.06552,-0.106731
555,0.483078,-1.01089,0.300772
